Time,X,Time,Y,Time,Z
0,39.588,0,5.768,0,0
0.007128475,39.594,0.007128475,5.74,0.007128475,0
0.007987631,39.601,0.007987631,5.707,0.007987631,0
0.00899976,39.644,0.00899976,5.364,0.00899976,0
0.019371342,39.728,0.019371342,4.697,0.019371342,0
0.039541415,39.831,0.039541415,3.717,0.039541415,0
0.069106308,39.836,0.069106308,3.687,0.069106308,0
0.070018814,39.842,0.070018814,3.651,0.070018814,0
0.07111382,39.877,0.07111382,3.175,0.07111382,0
0.085433803,39.908,0.085433803,2.746,0.085433803,0
0.098338652,39.914,0.098338652,2.711,0.098338652,0
0.099404075,39.921,0.099404075,2.669,0.099404075,0
0.100681583,39.937,0.100681583,2.283,0.100681583,0
0.112272686,39.982,0.112272686,1.226,0.112272686,0
0.144014584,39.992,0.144014584,-0.745,0.144014584,0
0.203151259,39.967,0.203151259,-1.587,0.203151259,0
0.228424918,39.919,0.228424918,-2.51,0.228424918,0
0.256155109,39.844,0.256155109,-3.484,0.256155109,0
0.285464539,39.756,0.285464539,-4.373,0.285464539,0
0.312267564,39.667,0.312267564,-5.112,0.312267564,0
0.334599997,39.518,0.334599997,-6.154,0.334599997,0
0.36618113,39.338,0.36618113,-7.208,0.36618113,0
0.398262125,39.136,0.398262125,-8.23,0.398262125,0
0.429518397,38.907,0.429518397,-9.248,0.429518397,0
0.460824699,38.651,0.460824699,-10.26,0.460824699,0
0.492144152,38.362,0.492144152,-11.288,0.492144152,0
0.524182876,38.053,0.524182876,-12.287,0.524182876,0
0.55555692,37.71,0.55555692,-13.299,0.55555692,0
0.58761654,37.349,0.58761654,-14.28,0.58761654,0
0.618979106,36.962,0.618979106,-15.249,0.618979106,0
0.650284904,36.551,0.650284904,-16.208,0.650284904,0
0.681588862,36.104,0.681588862,-17.177,0.681588862,0
0.713606014,35.642,0.713606014,-18.115,0.713606014,0
0.744977275,35.144,0.744977275,-19.061,0.744977275,0
0.777052713,34.634,0.777052713,-19.971,0.777052713,0
0.80835089,34.1,0.80835089,-20.867,0.80835089,0
0.839645789,33.543,0.839645789,-21.749,0.839645789,0
0.870943578,32.949,0.870943578,-22.637,0.870943578,0
0.902997399,32.346,0.902997399,-23.489,0.902997399,0
0.934314453,31.705,0.934314453,-24.345,0.934314453,0
0.966399671,31.059,0.966399671,-25.163,0.966399671,0
0.997672528,30.391,0.997672528,-25.965,0.997672528,0
1.028988359,29.703,1.028988359,-26.746,1.028988359,0
1.060216064,28.977,1.060216064,-27.53,1.060216064,0
1.092274828,28.248,1.092274828,-28.276,1.092274828,0
1.12356951,27.481,1.12356951,-29.021,1.12356951,0
1.155650477,26.714,1.155650477,-29.727,1.155650477,0
1.186927436,25.928,1.186927436,-30.413,1.186927436,0
1.218228374,25.125,1.218228374,-31.079,1.218228374,0
1.249528924,24.284,1.249528924,-31.739,1.249528924,0
1.281603815,23.447,1.281603815,-32.361,1.281603815,0
